Broad_Occ,occ90,occ90_title
Managerial,3,Legislators
Managerial,4,Chief executives and public administrators
Managerial,7,Financial managers
Managerial,8,Human resources and labor relations managers
Managerial,13,"Managers and specialists in marketing, advertising, and public relations"
Managerial,14,Managers in education and related fields
Managerial,15,Managers of medicine and health occupations
Managerial,16,Postmasters and mail superintendents
Managerial,17,Managers of food-serving and lodging establishments
Managerial,18,Managers of properties and real estate
Managerial,19,Funeral directors
Managerial,21,"Managers of service organizations, n.e.c."
Managerial,22,"Managers and administrators, n.e.c."
Managerial,23,Accountants and auditors
Managerial,24,Insurance underwriters
Managerial,25,Other financial specialists
Managerial,26,Management analysts
Managerial,27,"Personnel, HR, training, and labor relations specialists"
Managerial,28,"Purchasing agents and buyers, of farm products"
Managerial,29,"Buyers, wholesale and retail trade"
Managerial,33,"Purchasing managers, agents and buyers, n.e.c."
Managerial,34,Business and promotion agents
Managerial,35,Construction inspectors
Managerial,36,"Inspectors and compliance officers, outside construction"
Managerial,37,Management support occupations
Professional specialists,43,Architects
Professional specialists,44,Aerospace engineer
Professional specialists,45,"Metallurgical and materials engineers, variously phrased"
Professional specialists,47,"Petroleum, mining, and geological engineers"
Professional specialists,48,Chemical engineers
Professional specialists,53,Civil engineers
Professional specialists,55,Electrical engineer
Professional specialists,56,Industrial engineers
Professional specialists,57,Mechanical engineers
Professional specialists,59,Not-elsewhere-classified engineers
Professional specialists,64,Computer systems analysts and computer scientists
Professional specialists,65,Operations and systems researchers and analysts
Professional specialists,66,Actuaries
Professional specialists,67,Statisticians
Professional specialists,68,Mathematicians and mathematical scientists
Professional specialists,69,Physicists and astronomers
Professional specialists,73,Chemists
Professional specialists,74,Atmospheric and space scientists
Professional specialists,75,Geologists
Professional specialists,76,"Physical scientists, n.e.c."
Professional specialists,77,Agricultural and food scientists
Professional specialists,78,Biological scientists
Professional specialists,79,Foresters and conservation scientists
Professional specialists,83,Medical scientists
Professional specialists,84,Physicians
Professional specialists,85,Dentists
Professional specialists,86,Veterinarians
Professional specialists,87,Optometrists
Professional specialists,88,Podiatrists
Professional specialists,89,Other health and therapy
Professional specialists,95,Registered nurses
Professional specialists,96,Pharmacists
Professional specialists,97,Dietitians and nutritionists
Professional specialists,98,Respiratory therapists
Professional specialists,99,Occupational therapists
Professional specialists,103,Physical therapists
Professional specialists,104,Speech therapists
Professional specialists,105,"Therapists, n.e.c."
Professional specialists,106,Physicians' assistants
Professional specialists,113,"Earth, environmental, and marine science instructors"
Professional specialists,114,Biological science instructors
Professional specialists,115,Chemistry instructors
Professional specialists,116,Physics instructors
Professional specialists,118,Psychology instructors
Professional specialists,119,Economics instructors
Professional specialists,123,History instructors
Professional specialists,125,Sociology instructors
Professional specialists,127,Engineering instructors
Professional specialists,128,Math instructors
Professional specialists,139,Education instructors
Professional specialists,145,Law instructors
Professional specialists,147,Theology instructors
Professional specialists,149,Home economics instructors
Professional specialists,150,"Humanities profs/instructors, college, n.e.c"
Professional specialists,154,Subject instructors (HS/college)
Professional specialists,155,Kindergarten and earlier school teachers
Professional specialists,156,Primary school teachers
Professional specialists,157,Secondary school teachers
Professional specialists,158,Special education teachers
Professional specialists,159,"Teachers , n.e.c."
Professional specialists,163,Vocational and educational counselors
Professional specialists,164,Librarians
Professional specialists,165,Archivists and curators
Professional specialists,166,"Economists, market researchers, and survey researchers"
Professional specialists,167,Psychologists
Professional specialists,168,Sociologists
Professional specialists,169,"Social scientists, n.e.c."
Professional specialists,173,Urban and regional planners
Professional specialists,174,Social workers
Professional specialists,175,Recreation workers
Professional specialists,176,Clergy and religious workers
Professional specialists,178,Lawyers
Professional specialists,179,Judges
Professional specialists,183,Writers and authors
Professional specialists,184,Technical writers
Professional specialists,185,Designers
Professional specialists,186,Musician or composer
Professional specialists,187,"Actors, directors, producers"
Professional specialists,188,"Art makers: painters, sculptors, craft-artists, and print-makers"
Professional specialists,189,Photographers
Professional specialists,193,Dancers
Professional specialists,194,Art/entertainment performers and related
Professional specialists,195,Editors and reporters
Professional specialists,198,Announcers
Professional specialists,199,"Athletes, sports instructors, and officials"
Professional specialists,200,"Professionals, n.e.c."
Professional specialists,203,Clinical laboratory technologies and technicians
Professional specialists,204,Dental hygienists
Professional specialists,205,Health record tech specialists
Professional specialists,206,Radiologic tech specialists
Professional specialists,207,Licensed practical nurses
Professional specialists,208,"Health technologists and technicians, n.e.c."
Professional specialists,213,Electrical and electronic (engineering) technicians
Professional specialists,214,"Engineering technicians, n.e.c."
Professional specialists,215,Mechanical engineering technicians
Professional specialists,217,Drafters
Professional specialists,218,"Surveyors, cartographers, mapping scientists and technicians"
Professional specialists,223,Biological technicians
Professional specialists,224,Chemical technicians
Professional specialists,225,Other science technicians
Professional specialists,226,Airplane pilots and navigators
Professional specialists,227,Air traffic controllers
Professional specialists,228,Broadcast equipment operators
Professional specialists,229,Computer software developers
Professional specialists,233,Programmers of numerically controlled machine tools
Professional specialists,234,"Legal assistants, paralegals, legal support, etc."
Professional specialists,235,"Technicians, n.e.c."
Finance and sales,243,Supervisors and proprietors of sales jobs
Finance and sales,253,Insurance sales occupations
Finance and sales,254,Real estate sales occupations
Finance and sales,255,Financial services sales occupations
Finance and sales,256,Advertising and related sales jobs
Finance and sales,258,Sales engineers
Finance and sales,274,"Salespersons, n.e.c."
Finance and sales,275,Retail sales clerks
Finance and sales,276,Cashiers
Finance and sales,277,"Door-to-door sales, street sales, and news vendors"
Finance and sales,283,Sales demonstrators / promoters / models
Administrative,303,Office supervisors
Administrative,308,Computer and peripheral equipment operators
Administrative,313,Secretaries
Administrative,314,Stenographers
Administrative,315,Typists
Administrative,316,"Interviewers, enumerators, and surveyors"
Administrative,317,Hotel clerks
Administrative,318,Transportation ticket and reservation agents
Administrative,319,Receptionists
Administrative,323,"Information clerks, n.e.c"
Administrative,326,Correspondence and order clerks
Administrative,328,"Human resources clerks, except payroll and timekeeping"
Administrative,329,Library assistants
Administrative,335,File clerks
Administrative,336,Records clerks
Administrative,337,Bookkeepers and accounting and auditing clerks
Administrative,338,Payroll and timekeeping clerks
Administrative,343,Cost and rate clerks (financial records processing)
Administrative,344,Billing clerks and related financial records processing
Administrative,345,Duplication machine operators / office machine operators
Administrative,346,Mail and paper handlers
Administrative,347,"Office machine operators, n.e.c."
Administrative,348,Telephone operators
Administrative,349,Other telecom operators
Administrative,354,"Postal clerks, excluding mail carriers"
Administrative,355,Mail carriers for postal service
Administrative,356,"Mail clerks, outside of post office"
Administrative,357,Messengers
Administrative,359,Dispatchers
Administrative,361,"Inspectors, n.e.c."
Administrative,364,Shipping and receiving clerks
Administrative,365,Stock and inventory clerks
Administrative,366,Meter readers
Administrative,368,"Weighers, measurers, and checkers"
Administrative,373,"Material recording, scheduling, production, planning, and expediting clerks"
Administrative,375,"Insurance adjusters, examiners, and investigators"
Administrative,376,"Customer service reps, investigators and adjusters, except insurance"
Administrative,377,Eligibility clerks for government programs; social welfare
Administrative,378,Bill and account collectors
Administrative,379,General office clerks
Administrative,383,Bank tellers
Administrative,384,Proofreaders
Administrative,385,Data entry keyers
Administrative,386,Statistical clerks
Administrative,387,Teacher's aides
Administrative,389,"Administrative support jobs, n.e.c."
Service,405,"Housekeepers, maids, butlers, stewards, and lodging quarters cleaners"
Service,407,Private household cleaners and servants
Service,415,Supervisors of guards
Service,417,"Fire fighting, prevention, and inspection"
Service,418,"Police, detectives, and private investigators"
Service,423,"Other law enforcement: sheriffs, bailiffs, correctional institution officers"
Service,425,Crossing guards and bridge tenders
Service,426,"Guards, watchmen, doorkeepers"
Service,427,"Protective services, n.e.c."
Service,434,Bartenders
Service,435,Waiter/waitress
Service,436,"Cooks, variously defined"
Service,438,Food counter and fountain workers
