broad_occ,change,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,sh_change,sh_top11970,sh_top11980,sh_top11990,sh_top12000,sh_top12015,top11970,top11980,top11990,top12000,top12015,us_change,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,xsh_top1
"Managerial",211379,.2322298,.2441298,.2947352,.3306483,.3367552,298400,334500,405285,554651,545879,.7535927,.4084314,.3602274,.3643961,.4308284,.4514848,.0409401,.0339697,.0292279,.0352355,.027233,280495,730600,928580,1112210,1287406,1209075,.0912574
"Professional specialists",131004,.0696071,.0326407,.0367065,.0175379,.0457138,247100,295140,402859,397777,426144,.4670458,.3382152,.3178401,.3622149,.3089756,.3524546,.0258735,.0204158,.0203507,.0158266,.0135783,280495,730600,928580,1112210,1287406,1209075,.0346144
"Finance and sales",9939,-.0944059,-.0723845,-.0141269,.0030416,-.0412173,88600,142700,196812,206545,152639,.0354338,.1212702,.1536755,.1769558,.160435,.1262444,.015263,.0162248,.0157704,.0156093,.0104161,280495,730600,928580,1112210,1287406,1209075,-.0274311
"Administrative",6403,.1223735,.0679353,.0424187,.0243616,-.0161124,23200,19560,21313,32313,25963,.0228275,.0317547,.0210644,.0191627,.0250993,.0214734,.0018823,.0012128,.0011608,.0016389,.0013741,280495,730600,928580,1112210,1287406,1209075,.000409
"Craft and construction",-36764,.1115281,.0990536,.0913528,.0682702,.0831455,26000,56820,35393,33438,20056,-.1310683,.0355872,.0611902,.0318222,.0259732,.0165879,.0026861,.0047056,.0028369,.0024403,.0015745,280495,730600,928580,1112210,1287406,1209075,-.0446023
"Service",1719.998,-.3550117,-.3513768,-.3160506,-.2713178,-.2714316,8100,13940,13376,24880,15660,.006132,.0110868,.0150122,.0120265,.0193257,.0129521,.0009725,.0012666,.0009816,.0015147,.0006697,280495,730600,928580,1112210,1287406,1209075,-.0020601
"Transportation",-11864,-.0945516,-.049984,-.0987756,-.0859671,-.1371316,9200,20020,12669,13653,8156,-.0422967,.0125924,.0215598,.0113908,.010605,.0067457,.0017964,.0030433,.0017706,.0019153,.0009657,280495,730600,928580,1112210,1287406,1209075,-.0148141
"Farming",-23260,-.4389252,-.3315247,-.3556533,-.3180994,-.2839053,18500,30340,11730,8160,7080,-.0829248,.0253217,.0326735,.0105466,.0063383,.0058557,.0077067,.0124778,.004716,.0031486,.0022704,280495,730600,928580,1112210,1287406,1209075,-.0268178
"Machine operators and laborers",-7131.999,.0534513,.0586503,.0289663,-.0016963,-.0219112,9000,14100,11854,14761,6968,-.0254265,.0123186,.0151845,.0106581,.0114657,.0057631,.0008425,.0013566,.0012403,.0015963,.0008252,280495,730600,928580,1112210,1287406,1209075,-.0094214
"Military",-930,-.3150627,-.1850327,-.0308754,.0648243,.3862192,2500,1460,919.0001,1228,530,-.0033156,.0034218,.0015723,.0008263,.0009539,.0004384,.0012518,.0009051,.0005441,.0010687,.0005204,280495,730600,928580,1112210,1287406,1209075,-.0011339
