broad_occ,broad_occ_sector,change,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,sector,sh_change,sh_top11970,sh_top11980,sh_top11990,sh_top12000,sh_top12015,top11970,top11980,top11990,top12000,top12015,us_change,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,xsh_top1
"Professional specialists","Professional specialistsHealth",42375,.2290908,.2242061,.2395221,.2227691,.2785437,120700,156540,201726,197216,198915,"Health",.1510722,.1652067,.16858,.181374,.1531887,.1645183,.0694716,.0523783,.0462986,.0371149,.026505,280495,730600,928580,1112210,1287406,1209075,-.0040617
"Managerial","ManagerialFin",110847,.2779725,.3002633,.4017045,.4290455,.4711038,35500,48020,79081,130894,158867,"Fin",.3951835,.0485902,.0517134,.0711026,.1016727,.1313955,.0554774,.0396899,.0408688,.052783,.0481377,280495,730600,928580,1112210,1287406,1209075,.0796821
"Managerial","ManagerialAg_Min_Mfg",-2729,.3770261,.3877375,.4404169,.4568811,.476248,84800.01,110580,112372,119533,107851,"Ag_Min_Mfg",-.0097292,.116069,.1190851,.1010349,.0928479,.0892012,.0684699,.0553154,.0444731,.0476584,.0409563,280495,730600,928580,1112210,1287406,1209075,-.0298838
"Managerial","ManagerialO_Serv",47813,.1749166,.1151585,.1932435,.2218392,.2280189,15200,28660,50214,70544,76473,"O_Serv",.1704594,.0208048,.0308643,.0451479,.0547955,.0632492,.0413156,.0354747,.0360207,.0348335,.0257478,280495,730600,928580,1112210,1287406,1209075,.0323849
"Professional specialists","Professional specialistsLegal",18725,.3442835,.2164182,.3441229,.3116772,.3080112,45000,54700,98165,70512,73425,"Legal",.066757,.0615932,.0589071,.0882612,.0547706,.0607282,.2444324,.1446554,.1420906,.0760739,.0702885,280495,730600,928580,1112210,1287406,1209075,.0018211
"Finance and sales","Finance and salesFin",1198.996,.1979948,.1573685,.2737225,.3209974,.2371039,38500,62600,97098,91808,63799,"Fin",.0042746,.0526964,.0674148,.0873019,.0713124,.0527668,.0486849,.0476698,.0516938,.0530224,.0355245,280495,730600,928580,1112210,1287406,1209075,-.014648
"Managerial","ManagerialBus_Rep",38359,.1813402,.1527445,.2135105,.3467152,.3561385,16800,20300,32516,59983,58659,"Bus_Rep",.1367547,.0229948,.0218613,.0292355,.0465921,.0485156,.0436704,.0304979,.0276981,.0395808,.0292055,280495,730600,928580,1112210,1287406,1209075,.0266543
"Finance and sales","Finance and salesTrade",-7383,-.1851188,-.1486774,-.0938849,-.0854081,-.1332139,27100,57380,73737,73433,49997,"Trade",-.0263213,.0370928,.0617933,.0662977,.0570395,.0413514,.0073615,.0094472,.0086201,.0081696,.0048536,280495,730600,928580,1112210,1287406,1209075,-.0204418
"Managerial","ManagerialTrade",-25445,.2144771,.1998774,.2354899,.2760235,.2659074,80300,72960,55676,67354,47515,"Trade",-.0907146,.1099097,.0785716,.0500589,.0523176,.0392986,.0370866,.0327193,.0251448,.0302881,.0183541,280495,730600,928580,1112210,1287406,1209075,-.0392729
"Managerial","ManagerialTran_U_Com",13609,.3087044,.3985913,.4354863,.4453425,.429231,13100,17140,21105,31735,30749,"Tran_U_Com",.0485178,.0179305,.0184583,.0189757,.0246503,.0254318,.0340348,.0280203,.0237555,.0326055,.026856,280495,730600,928580,1112210,1287406,1209075,.0069735
