sector,sh_top11970,sh_top11980,sh_top11990,sh_top12000,sh_top12015,sh_change
"Ag_Min_Mfg",.2113331,.2215857,.1602996,.1509322,.1412541,-.124683
"Trade",.1671229,.161451,.1302452,.1277576,.0987183,-.1089574
"Con",.0528333,.0622886,.0524748,.0501934,.0323047,-.0669567
"Pub",.0145086,.0120184,.0078833,.0109795,.0083882,-.0055188
"NA",.0372296,.0015723,0,0,0,0
"Enter",.0112236,.0100799,.0134588,.0103403,.0099903,.0096935
"Ed",.026006,.0180275,.0158433,.0176652,.0238629,.0431808
"Tran_U_Com",.0459896,.0552672,.0450355,.0534399,.0542812,.0510169
"Legal",.0617301,.0592947,.0893976,.0568328,.0634865,.0773633
"Health",.1724611,.1792846,.1950918,.1720041,.1884284,.2186992
"O_Serv",.0492745,.0519502,.0680015,.079856,.0930232,.2289952
"Bus_Rep",.0427047,.0398673,.0513365,.0817821,.0839693,.2299684
"Fin",.1075828,.1273127,.1709318,.1882172,.2022927,.4505143
