ind1990,sh_top11970,top11970,earn_res1970,agg_inc1970,num_top11970,us_num_top11970,us_agg_inc1970,sh_agg1970,sh_top11980,top11980,earn_res1980,agg_inc1980,num_top11980,us_num_top11980,us_agg_inc1980,sh_agg1980,sh_top11990,top11990,earn_res1990,agg_inc1990,num_top11990,us_num_top11990,us_agg_inc1990,sh_agg1990,sh_top12000,top12000,earn_res2000,agg_inc2000,num_top12000,us_num_top12000,us_agg_inc2000,sh_agg2000,sh_top12015,top12015,earn_res2015,agg_inc2015,num_top12015,us_num_top12015,us_agg_inc2015,sh_agg2015,change,us_change,sh_agg_incx,sh_change,sh_agg_change
"Security, commodity brokerage, and investment companies",.0302491,.0880829,.4131475,2.84e+08,22100,730600,6.64e+09,.0428463,.0281505,.0818768,.3113115,5.99e+08,26140,928580,1.50e+10,.039918,.0546138,.0908084,.429036,3.07e+09,60742,1112210,3.56e+10,.0862966,.0833032,.0944119,.4675125,9.06e+09,107245,1287406,6.42e+10,.1411272,.0836863,.0856944,.53003,1.33e+10,101183,1209075,9.13e+10,.1461443,75043.01,280495,.1670585,.2675378,.1062263
"Offices and clinics of physicians",.114974,.1899163,.2603331,1.21e+09,84000,730600,6.64e+09,.1814935,.098796,.1339466,.1717275,2.00e+09,91740.01,928580,1.50e+10,.133275,.0998741,.0982773,.1923908,4.68e+09,111081,1112210,3.56e+10,.1314744,.0790163,.0663683,.228571,6.36e+09,101726,1287406,6.42e+10,.0990919,.0756868,.057805,.2714164,7.94e+09,91511,1209075,9.13e+10,.087029,-229.0078,280495,.0779239,-.0008164,-.0462461
"Hospitals",.0217629,.006208,.0863353,8.55e+07,15900,730600,6.64e+09,.0128741,.0411812,.0089603,.1065545,4.44e+08,38240,928580,1.50e+10,.0295583,.0498359,.0109391,.1590137,1.39e+09,55428,1112210,3.56e+10,.0391305,.0539651,.0135662,.1445948,2.76e+09,69475,1287406,6.42e+10,.043006,.0724752,.0128123,.2468016,5.55e+09,87628,1209075,9.13e+10,.0608118,49388,280495,.0669651,.1760744,.0312535
"Legal services",.0617301,.1255918,.3190624,6.35e+08,45100,730600,6.64e+09,.0956838,.0592948,.0779114,.1983035,1.18e+09,55060,928580,1.50e+10,.0786738,.0893977,.0815308,.3199374,4.57e+09,99429,1112210,3.56e+10,.1282955,.0568329,.0509791,.2704843,5.17e+09,73167,1287406,6.42e+10,.0805112,.0634865,.0530702,.2602125,7.96e+09,76760,1209075,9.13e+10,.0872363,21700,280495,.0889221,.0773632,.0085625
"Computer and data processing services",.0016425,.0134983,.3086371,1.16e+07,1200,730600,6.64e+09,.0017521,.0039846,.0104502,.2203225,6.51e+07,3700,928580,1.50e+10,.0043366,.0099541,.0151839,.2735255,4.04e+08,11071,1112210,3.56e+10,.0113434,.0312163,.0255425,.3284913,2.54e+09,40188,1287406,6.42e+10,.0395236,.0447565,.0211992,.3654254,5.16e+09,54114,1209075,9.13e+10,.0565152,50414,280495,.0667883,.1797323,.0521786
"Management and public relations services",.0117711,.0271465,-.0022378,8.15e+07,8600,730600,6.64e+09,.0122702,.0114153,.0334659,-.0475897,1.83e+08,10600,928580,1.50e+10,.0121801,.0213692,.0430455,.175544,9.46e+08,23767,1112210,3.56e+10,.0265594,.0337741,.0467075,.3086777,3.17e+09,43481,1287406,6.42e+10,.0493559,.0383343,.0306869,.2464321,4.31e+09,46349,1209075,9.13e+10,.0472644,35749,280495,.0541719,.1274497,.0350843
"Banking",.011908,.0089783,.2173967,5.79e+07,8700,730600,6.64e+09,.0087222,.0130953,.0073128,.1615038,1.47e+08,12160,928580,1.50e+10,.00977,.0190504,.0103433,.2275568,5.29e+08,21188,1112210,3.56e+10,.0148453,.0242029,.017099,.2321133,1.28e+09,31159,1287406,6.42e+10,.019909,.0326514,.020711,.3453746,2.85e+09,39478,1209075,9.13e+10,.0312401,27318,280495,.0354672,.0973921,.0214701
"All construction ",.0528333,.0094829,.0944488,3.27e+08,38600,730600,6.64e+09,.0493198,.0622887,.0105084,.0300709,8.94e+08,57840,928580,1.50e+10,.0595553,.0524748,.0083272,.0346109,1.50e+09,58363,1112210,3.56e+10,.042225,.0501932,.0075584,.0546942,2.35e+09,64619,1287406,6.42e+10,.0365878,.0323049,.0042072,.0377521,1.85e+09,39059,1209075,9.13e+10,.0203238,-18781,280495,.0125997,-.0669566,-.0392315
"Real estate, including real estate-insurance offices ",.0265535,.0299521,-.0110376,1.65e+08,19400,730600,6.64e+09,.0248035,.0411596,.0290704,-.0140305,6.05e+08,38220,928580,1.50e+10,.0402961,.0463024,.0277405,.0804669,1.59e+09,51498,1112210,3.56e+10,.0447048,.0323255,.0234421,.1101717,2.01e+09,41616,1287406,6.42e+10,.0312752,.0305299,.016826,.0701851,2.38e+09,36913,1209075,9.13e+10,.02609,-1307,280495,.0232931,-.0046596,-.0142061
"Insurance",.0343553,.019637,.2263339,2.13e+08,25100,730600,6.64e+09,.0320167,.0384458,.0192696,.2183137,5.65e+08,35700,928580,1.50e+10,.0376152,.0423976,.0197335,.2945199,1.46e+09,47155,1112210,3.56e+10,.0410132,.0327333,.0176964,.2880214,2.01e+09,42141,1287406,6.42e+10,.0312755,.03019,.0144935,.3030479,2.61e+09,36502,1209075,9.13e+10,.0285416,802,280495,.0267551,.0028592,-.0090737
