occ1990,naics2,sh_change,sh_top12015,sh_top11980,top11980,top12015,sh_change_inc,over_inc,sh_change_pop,agg_inc1970,agg_inc1980,agg_inc1990,agg_inc2000,agg_inc2015,change,change_inc,change_pop,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,inctot1970,inctot1980,inctot1990,inctot2000,inctot2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,pop1970,pop1980,pop1990,pop2000,pop2015,sh_top11970,sh_top11990,sh_top12000,top11970,top11990,top12000,us_change,us_change_inc,us_change_pop,us_inc1970,us_inc1980,us_inc1990,us_inc2000,us_inc2015,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,us_pop1970,us_pop1980,us_pop1990,us_pop2000,us_pop2015,xsh_top1,xsh_top1_90
"Physicians","62",.1633505,.1380717,.1304357,.324388,.2215009,.0266174,.0188252,.0077922,6.57e+09,1.68e+10,5.18e+10,1.03e+11,1.76e+11,45819,1.59e+11,380292,.5095618,.5660707,.6305681,.6781445,.7704299,26754.27524,45120.71911,101874.6888,161106.8788,233906.4177,94600,121120,158430,158561,166939,245600,373380,508061,636574,753672,.1294826,.1424461,.1231632,.3851792,.3118326,.2490849,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.007636,-.0043744
"Other financial specialists","52",.1264728,.0347166,.0069999,.0250598,.0592487,.0124439,.0032423,.0092016,,5.10e+09,1.43e+10,4.07e+10,7.96e+10,35475,7.45e+10,449074,,.3140151,.3731137,.3851268,.4932455,,19647.56728,38382.79654,70301.31022,112408.9001,,6500,11646,32033,41975,,259380,372049,579595,708454,,.010471,.0248818,,.0313023,.0552679,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0277167,.0242456
"Financial managers","52",.1227152,.0320088,.0046092,.0231376,.0554672,.0117124,.0012061,.0105063,3.36e+09,3.92e+09,1.48e+10,3.33e+10,7.41e+10,34421,7.02e+10,512748,.3023777,.3351028,.4975893,.5006314,.5181739,12364.93004,21170.26814,45617.36958,71029.21635,106165.5933,10000,4280,15249,28465,38701,271600,184980,325168,469125,697728,.0136874,.0137105,.0221104,.0368189,.0468958,.0606768,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0273996,.0182982
"Managers and administrators, n.e.c.","54",.0798766,.0291338,.013806,.066418,.0357993,.0183471,.0021407,.0162064,1.57e+09,5.34e+09,1.98e+10,3.72e+10,1.15e+11,22405,1.10e+11,790937,.3681576,.409171,.4543477,.4934157,.4983772,15518.13241,27681.82986,50588.28252,83738.98095,117123.5918,8000,12820,21047,22048,35225,101200,193020,390918,444069,983957,.0109499,.0189236,.0171259,.0790514,.0538399,.0496499,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0153278,.0102103
"Lawyers ","54",.0741404,.0621268,.0584979,.157431,.1103657,.0171032,.0102273,.0068759,4.14e+09,1.16e+10,4.18e+10,7.55e+10,1.14e+11,20796,1.02e+11,335570,.3480262,.2304528,.3793189,.3816236,.4078132,22815.9967,33501.63169,76204.86953,119723.2933,167510.9928,45100,54320,97872,70322,75116,181600,345040,549118,630830,680610,.0617301,.0879978,.054623,.248348,.1782349,.1114754,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0036289,-.0258709
"Management analysts","54",.0497228,.0152406,.0048246,.0861538,.0423672,.0080579,.0002115,.0078464,,1.50e+09,8.03e+09,2.98e+10,4.98e+10,13947,4.83e+10,382935,,.2194355,.2056683,.3680112,.3135854,,28766.23846,54399.9907,90835.08073,114416.3639,,4480,11927,22205,18427,,52000,147635,328229,434935,,.0107237,.0172479,,.0807871,.0676509,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.010416,.0045169
"Supervisors and proprietors of sales jobs","52",.047409,.0125865,.0020677,.1087203,.0573396,.005103,.0000267,.0050762,,5.20e+08,1.12e+10,1.51e+10,3.11e+10,13298,3.06e+10,247741,,.4514366,.5564376,.4900988,.5573519,,29444.21857,51583.59714,72704.76469,117133.4052,,1920,13774,11823,15218,,17660,217978,208161,265401,,.0123844,.0091836,,.0631899,.0567974,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0105188,.0002021
"Salespersons, n.e.c.","54",.0389775,.010068,.0013354,.0413885,.0564962,.0038668,.0000658,.003801,1.84e+08,7.08e+08,2.78e+09,8.94e+09,2.39e+10,10933,2.32e+10,185506,.1197759,.192495,.2734233,.3283826,.422114,11523.125,23646.45527,43350.71607,69444.96681,110787.7463,500,1240,2252,6088,12173,16000,29960,64195,128677,215466,.0006844,.0020248,.0047289,.03125,.0350806,.0473123,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0087327,.0080432
"Financial services sales occupations","52",.0366958,.0207539,.0159383,.119509,.1115854,.0047027,.0026324,.0020703,1.52e+09,3.69e+09,1.62e+10,3.38e+10,3.19e+10,10293,2.82e+10,101037,.4105516,.358856,.4403014,.4937034,.5546437,17500.63437,29789.94348,58113.9621,92592.77198,141672.1236,12000,14800,30597,43321,25093,86700,123840,278524,365057,224877,.0164249,.0275101,.0336498,.1384083,.1098541,.1186691,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0048156,-.0067562
"Managers and specialists in marketing, advertising, and public relations","54",.0301396,.0084147,.0018523,.0446753,.0468926,.0036671,.0000104,.0036567,1.67e+08,9.94e+08,4.27e+09,1.43e+10,2.30e+10,8454,2.20e+10,178464,.2789674,.3242308,.4130676,.4123317,.4379386,13914.58333,25811.48831,47571.85373,70782.79713,105824.731,500,1720,4392,9404,10174,12000,38500,89690,201683,216964,.0006844,.0039489,.0073046,.0416667,.0489687,.0466276,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0065624,.0044658
