
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)"
="",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL"

="diversity",="7.123**",="5.900**",="6.197**",="3.561*",="6.355**",="0",="0",="5.493",="6.971**",="6.439**",="5.447",="7.064**",="6.589**",="6.614**",="6.766**",="6.502**",="7.476**",="7.092**",="7.146**",="6.982**",="7.673**",="7.030**",="6.374**",="6.468**",="5.938**",="5.855**",="8.539**",="7.725**",="7.067**",="4.420*",="7.381**",="5.595**",="6.748**",="6.942**",="7.125**",="7.274**",="6.925**",="7.266**",="6.353**",="6.462**",="6.074**",="6.944**",="7.328**",="6.625**",="6.854**",="6.779**",="6.613**",="7.096**",="6.920**",="7.285**",="7.082**",="7.354**",="7.077**",="7.651**",="7.113**"
="",="(1.5182)",="(1.4779)",="(1.6423)",="(1.4644)",="(1.3699)",="(.)",="(.)",="(4.8881)",="(1.4194)",="(1.4201)",="(2.2776)",="(1.4674)",="(1.6418)",="(1.3967)",="(1.5465)",="(1.7089)",="(1.7078)",="(1.8101)",="(1.4242)",="(1.1453)",="(1.2817)",="(1.3748)",="(1.8456)",="(1.6878)",="(1.4083)",="(1.5463)",="(1.8472)",="(1.4862)",="(1.3962)",="(1.5320)",="(1.3827)",="(1.4351)",="(1.3778)",="(1.4218)",="(1.3950)",="(1.3811)",="(1.4372)",="(1.1087)",="(1.6415)",="(1.5272)",="(1.4646)",="(1.5606)",="(1.3908)",="(1.7046)",="(1.2885)",="(1.5566)",="(1.3691)",="(1.4937)",="(1.4394)",="(1.4290)",="(1.3467)",="(1.3702)",="(1.3852)",="(1.3954)",="(1.3978)"

="p_child_w_sp14",="-0.0526",="-0.0181",="-0.0584",="-0.0407",="-0.0504",="0",="-0.0854",="-0.0493",="-0.0732",="-0.0636*",="-0.0288",="-0.0556",="-0.0647*",="-0.0604",="-0.0657*",="-0.0616",="-0.0717*",="-0.0601*",="-0.0604*",="-0.0572*",="-0.0533*",="-0.0601*",="-0.0514",="-0.0499",="-0.0632*",="-0.0583*",="-0.0910*",="-0.0586*",="-0.0596*",="-0.0163",="-0.0672*",="-0.0394",="-0.0665*",="-0.0554",="-0.0601*",="-0.0537",="-0.0621*",="-0.0455",="-0.0471",="-0.0456",="-0.0501",="-0.0567",="-0.0641*",="-0.0556",="-0.0652*",="-0.0536",="-0.0456",="-0.0604",="-0.0631*",="-0.0611*",="-0.0600*",="-0.0629*",="-0.0616*",="-0.0597*",="-0.0599*"
="",="(0.0294)",="(0.0366)",="(0.0305)",="(0.0225)",="(0.0261)",="(.)",="(.)",="(0.0355)",="(0.0324)",="(0.0259)",="(0.0518)",="(0.0361)",="(0.0284)",="(0.0320)",="(0.0289)",="(0.0299)",="(0.0288)",="(0.0269)",="(0.0259)",="(0.0236)",="(0.0234)",="(0.0255)",="(0.0296)",="(0.0307)",="(0.0224)",="(0.0242)",="(0.0348)",="(0.0250)",="(0.0260)",="(0.0271)",="(0.0261)",="(0.0251)",="(0.0256)",="(0.0279)",="(0.0258)",="(0.0264)",="(0.0262)",="(0.0222)",="(0.0300)",="(0.0300)",="(0.0250)",="(0.0308)",="(0.0257)",="(0.0274)",="(0.0240)",="(0.0298)",="(0.0270)",="(0.0304)",="(0.0268)",="(0.0257)",="(0.0250)",="(0.0251)",="(0.0261)",="(0.0245)",="(0.0258)"

="pop20_64_2011",="-0.305",="-0.0310",="-0.185",="-0.0462",="-0.289",="0",="0.902",="-0.441",="-0.346",="-0.345",="-0.172",="-0.334",="-0.285",="-0.330",="-0.291",="-0.294",="-0.396",="-0.367",="-0.361",="-0.272",="-0.497*",="-0.351",="-0.331",="-0.272",="-0.478",="-0.379",="-0.236",="-0.462",="-0.376",="-0.454*",="-0.318",="-0.417",="-0.324",="-0.295",="-0.357",="-0.339",="-0.341",="-0.252",="-0.367",="-0.366",="-0.148",="-0.359",="-0.352",="-0.370",="-0.445",="-0.360",="-0.489",="-0.365",="-0.409",="-0.391",="-0.366",="-0.280",="-0.367",="-0.366",="-0.364"
="",="(0.2589)",="(0.2952)",="(0.3074)",="(0.2112)",="(0.2152)",="(.)",="(.)",="(0.3182)",="(0.2353)",="(0.2227)",="(0.3513)",="(0.3143)",="(0.2674)",="(0.2316)",="(0.2688)",="(0.2652)",="(0.2855)",="(0.2419)",="(0.2298)",="(0.2656)",="(0.2154)",="(0.2267)",="(0.2341)",="(0.2579)",="(0.2325)",="(0.2138)",="(0.2883)",="(0.2403)",="(0.2423)",="(0.1919)",="(0.2268)",="(0.2041)",="(0.2238)",="(0.2824)",="(0.2299)",="(0.2260)",="(0.2354)",="(0.1933)",="(0.2238)",="(0.2228)",="(0.2587)",="(0.2307)",="(0.2240)",="(0.2271)",="(0.2158)",="(0.2276)",="(0.2368)",="(0.2326)",="(0.2504)",="(0.2310)",="(0.2212)",="(0.2362)",="(0.2275)",="(0.2171)",="(0.2284)"

="patents_pop1000",="-6.637*",="-3.990",="-3.667",="-1.727",="-5.757**",="0",="0",="-5.925*",="-6.097**",="-5.723**",="-4.889",="-5.336**",="-5.264*",="-5.728**",="-5.364*",="-5.238*",="-5.867*",="-5.476**",="-5.158*",="-5.401**",="-5.015**",="-5.580**",="-4.920*",="-5.139*",="-6.412**",="-4.669*",="-5.804*",="-5.769**",="-5.456**",="-3.609*",="-6.166**",="-4.425*",="-5.452**",="-5.087*",="-5.506**",="-5.643**",="-5.575**",="-4.784**",="-4.161",="-3.811",="-3.440",="-5.164*",="-6.241**",="-4.765",="-6.123**",="-4.771",="-4.954**",="-5.500*",="-5.704**",="-5.758**",="-5.478**",="-5.329**",="-5.612**",="-5.372**",="-5.519**"
