
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)"
="",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini",="un_gini"

="diversity",="28.59**",="21.28*",="24.61*",="10.92",="30.40**",="0",="0",="23.05",="30.15**",="23.41*",="22.25",="32.08*",="24.39*",="25.91**",="26.19*",="21.81*",="30.55**",="27.78*",="29.55**",="29.94**",="33.95**",="29.15**",="29.76*",="27.67*",="22.42*",="29.65*",="47.32**",="30.67*",="30.43**",="14.65",="34.03**",="22.66*",="26.40*",="31.34**",="30.22**",="30.54**",="26.94*",="31.12**",="30.82*",="31.30*",="25.32*",="32.64**",="31.39**",="34.40*",="28.74**",="31.36*",="28.78*",="32.94**",="29.21*",="30.11**",="30.01**",="31.11**",="30.01**",="35.46**",="30.78**"
="",="(8.5442)",="(7.9570)",="(9.5393)",="(9.3440)",="(6.6464)",="(.)",="(.)",="(25.6115)",="(8.2660)",="(7.7379)",="(9.9195)",="(8.2047)",="(9.0723)",="(8.1277)",="(8.6212)",="(9.0865)",="(9.4119)",="(12.5235)",="(9.8780)",="(5.0587)",="(8.9755)",="(8.9319)",="(12.9428)",="(11.9167)",="(9.7693)",="(11.4689)",="(11.6943)",="(10.6511)",="(9.6200)",="(11.3568)",="(8.7021)",="(10.6026)",="(9.0309)",="(9.8106)",="(9.6902)",="(9.7574)",="(9.5881)",="(6.6035)",="(11.6186)",="(10.8420)",="(10.5647)",="(10.7360)",="(9.7246)",="(11.7485)",="(9.2183)",="(10.8358)",="(9.9371)",="(10.1515)",="(10.0116)",="(10.0061)",="(9.3417)",="(9.7220)",="(9.6479)",="(9.1943)",="(9.5459)"

="p_child_w_sp14",="-0.299",="-0.0782",="-0.337",="-0.247",="-0.285",="0",="-0.342",="-0.232",="-0.484*",="-0.359*",="-0.172",="-0.480",="-0.344",="-0.283",="-0.345",="-0.295",="-0.390*",="-0.281",="-0.293",="-0.302*",="-0.251",="-0.297",="-0.293",="-0.254",="-0.310",="-0.296",="-0.638*",="-0.295",="-0.307",="-0.0438",="-0.394*",="-0.194",="-0.366*",="-0.340",="-0.296",="-0.279",="-0.337",="-0.185",="-0.311",="-0.326",="-0.250",="-0.359",="-0.319",="-0.339",="-0.325",="-0.325",="-0.258",="-0.382",="-0.311",="-0.297",="-0.296",="-0.308",="-0.298",="-0.293",="-0.292"
="",="(0.1655)",="(0.1969)",="(0.1774)",="(0.1434)",="(0.1264)",="(.)",="(.)",="(0.1862)",="(0.1887)",="(0.1411)",="(0.2256)",="(0.2020)",="(0.1572)",="(0.1862)",="(0.1613)",="(0.1589)",="(0.1585)",="(0.1864)",="(0.1793)",="(0.1043)",="(0.1636)",="(0.1655)",="(0.2074)",="(0.2166)",="(0.1557)",="(0.1793)",="(0.2205)",="(0.1793)",="(0.1793)",="(0.2006)",="(0.1643)",="(0.1851)",="(0.1681)",="(0.1923)",="(0.1789)",="(0.1868)",="(0.1747)",="(0.1323)",="(0.2127)",="(0.2132)",="(0.1804)",="(0.2121)",="(0.1798)",="(0.1891)",="(0.1716)",="(0.2076)",="(0.1956)",="(0.2065)",="(0.1861)",="(0.1796)",="(0.1734)",="(0.1782)",="(0.1816)",="(0.1617)",="(0.1762)"

="pop20_64_2011",="-0.562",="1.157",="-0.228",="0.691",="-0.878",="0",="6.662",="-1.520",="-1.132",="-1.098",="0.101",="-0.744",="-0.531",="-0.776",="-0.637",="-0.613",="-1.269",="-1.692",="-1.885",="-0.0643",="-2.719",="-1.596",="-1.833",="-1.349",="-2.807",="-1.849",="-1.813",="-1.944",="-1.585",="-2.350",="-1.205",="-2.098",="-1.396",="-2.521",="-1.802",="-1.770",="-1.362",="-1.033",="-1.844",="-1.846",="-0.833",="-1.971",="-1.766",="-1.807",="-2.284",="-1.874",="-2.167",="-1.610",="-2.057",="-1.857",="-1.845",="-1.496",="-1.846",="-1.847",="-1.801"
="",="(1.4573)",="(1.5892)",="(1.7856)",="(1.3479)",="(1.0439)",="(.)",="(.)",="(1.6671)",="(1.3705)",="(1.2134)",="(1.5302)",="(1.7573)",="(1.4773)",="(1.3476)",="(1.4984)",="(1.4101)",="(1.5735)",="(1.6736)",="(1.5936)",="(1.1732)",="(1.5086)",="(1.4729)",="(1.6415)",="(1.8210)",="(1.6129)",="(1.5860)",="(1.8249)",="(1.7222)",="(1.6692)",="(1.4225)",="(1.4274)",="(1.5077)",="(1.4669)",="(1.9488)",="(1.5967)",="(1.5970)",="(1.5704)",="(1.1516)",="(1.5841)",="(1.5814)",="(1.8663)",="(1.5870)",="(1.5659)",="(1.5649)",="(1.5442)",="(1.5846)",="(1.7183)",="(1.5810)",="(1.7415)",="(1.6172)",="(1.5346)",="(1.6761)",="(1.5848)",="(1.4305)",="(1.5595)"
