
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)"
="",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016",="avg_top1_2010_2016"

="diversity",="0.441",="0.297",="0.238",="0.0000570",="0.246",="0",="0",="-0.735",="0.303",="0.316",="-0.138",="0.317",="0.667*",="0.303*",="0.367",="0.438",="0.484*",="0.380*",="0.286*",="0.371*",="0.318*",="0.297*",="0.255",="0.249",="0.242",="0.244*",="0.300*",="0.431**",="0.292*",="0.178",="0.291*",="0.165",="0.269*",="0.261*",="0.288*",="0.299*",="0.273*",="0.291*",="0.269*",="0.266*",="0.277*",="0.284*",="0.300*",="0.264*",="0.294*",="0.275*",="0.273*",="0.303*",="0.297*",="0.286*",="0.292**",="0.295*",="0.279*",="0.279*",="0.306*"
="",="(0.1688)",="(0.1425)",="(0.1179)",="(0.0836)",="(0.1163)",="(.)",="(.)",="(1.9703)",="(0.1257)",="(0.1320)",="(0.0818)",="(.)",="(0.1694)",="(0.1149)",="(0.1692)",="(0.1955)",="(0.1122)",="(0.1203)",="(0.0852)",="(0.1142)",="(0.1112)",="(0.1069)",="(0.1151)",="(0.1155)",="(0.1050)",="(0.0982)",="(0.1163)",="(0.1017)",="(0.0912)",="(0.1056)",="(0.0923)",="(0.1090)",="(0.0917)",="(0.0908)",="(0.0894)",="(0.0913)",="(0.1151)",="(0.0992)",="(0.1034)",="(0.0976)",="(0.0995)",="(0.1015)",="(0.1110)",="(0.1029)",="(0.0884)",="(0.1014)",="(0.0850)",="(0.0962)",="(0.0901)",="(0.1073)",="(0.0862)",="(0.0977)",="(0.0964)",="(0.1046)",="(0.0956)"

="p_child_w_sp14",="-0.00332",="-0.000911",="0.000470",="0.00378",="-0.00143",="0",="-0.0159",="-0.0110",="-0.00211",="-0.00184",="0.0160",="0.00478",="-0.00379",="-0.00187",="-0.000212",="-0.00548",="-0.00252",="-0.00180",="0.0000792",="-0.000536",="-0.00128",="-0.00119",="-0.000482",="-0.000295",="-0.00346",="-0.00161",="-0.00140",="-0.00318",="-0.00104",="0.000337",="-0.000982",="0.00133",="-0.000985",="-0.000450",="-0.000603",="-0.000790",="-0.000708",="-0.000515",="-0.000753",="-0.000725",="-0.000932",="-0.000882",="-0.00113",="-0.00123",="-0.00142",="-0.000726",="-0.000772",="-0.00148",="-0.000117",="-0.000904",="-0.00101",="-0.00103",="-0.000723",="-0.000951",="-0.000706"
="",="(0.0036)",="(0.0039)",="(0.0032)",="(0.0018)",="(0.0040)",="(.)",="(.)",="(0.0222)",="(0.0034)",="(0.0032)",="(0.0031)",="(.)",="(0.0025)",="(0.0031)",="(0.0046)",="(0.0054)",="(0.0023)",="(0.0022)",="(0.0023)",="(0.0027)",="(0.0023)",="(0.0029)",="(0.0024)",="(0.0027)",="(0.0034)",="(0.0022)",="(0.0026)",="(0.0021)",="(0.0022)",="(0.0021)",="(0.0023)",="(0.0024)",="(0.0022)",="(0.0022)",="(0.0023)",="(0.0023)",="(0.0025)",="(0.0026)",="(0.0023)",="(0.0022)",="(0.0022)",="(0.0023)",="(0.0024)",="(0.0022)",="(0.0022)",="(0.0024)",="(0.0021)",="(0.0026)",="(0.0027)",="(0.0024)",="(0.0021)",="(0.0023)",="(0.0023)",="(0.0023)",="(0.0023)"

="pop20_64_2011",="-0.0386",="-0.000886",="0.0283",="0.0374",="-0.00515",="0",="0.169",="-0.0200",="-0.00506",="-0.00606",="0.109",="-0.0137",="-0.0483",="-0.00491",="-0.0251",="-0.00451",="-0.0729",="-0.00344",="0.00784",="-0.0637",="-0.00349",="0.000359",="0.00214",="0.00419",="-0.0103",="-0.00114",="0.00895",="-0.0193",="0.00000960",="-0.000226",="0.00136",="0.00264",="0.00748",="0.0117",="0.0166",="0.00268",="0.00635",="0.00414",="0.000685",="0.000375",="0.00632",="0.00204",="0.00102",="-0.000658",="-0.00466",="0.00248",="-0.00930",="0.00489",="0.00975",="0.00318",="0.00189",="0.00195",="0.00615",="0.00220",="0.000796"
="",="(0.0401)",="(0.0342)",="(0.0331)",="(0.0155)",="(0.0282)",="(.)",="(.)",="(0.0629)",="(0.0270)",="(0.0261)",="(0.0204)",="(.)",="(0.0267)",="(0.0249)",="(0.0441)",="(0.0323)",="(0.0334)",="(0.0173)",="(0.0173)",="(0.0460)",="(0.0220)",="(0.0234)",="(0.0174)",="(0.0212)",="(0.0288)",="(0.0169)",="(0.0189)",="(0.0179)",="(0.0202)",="(0.0153)",="(0.0192)",="(0.0152)",="(0.0182)",="(0.0191)",="(0.0287)",="(0.0175)",="(0.0242)",="(0.0192)",="(0.0176)",="(0.0174)",="(0.0214)",="(0.0176)",="(0.0190)",="(0.0179)",="(0.0192)",="(0.0176)",="(0.0185)",="(0.0195)",="(0.0222)",="(0.0212)",="(0.0166)",="(0.0177)",="(0.0207)",="(0.0176)",="(0.0176)"

="patents_pop1000",="-0.537",="-0.147",="0.267",="0.389",="-0.129",="0",="0",="-0.0988",="-0.176",="-0.156",="1.049",="-0.0222",="-0.647",="-0.139",="-0.283",="-0.293",="-0.630",="-0.0764",="0.0956",="-0.266",="-0.0769",="-0.0854",="-0.0453",="-0.0240",="-0.121",="-0.0496",="-0.0154",="-0.194",="-0.0816",="0.0283",="-0.0755",="0.0481",="-0.0468",="-0.0463",="0.0157",="-0.0812",="-0.0544",="-0.0614",="-0.0331",="-0.0151",="-0.0325",="-0.0600",="-0.0936",="-0.0345",="-0.124",="-0.0356",="-0.0757",="-0.0901",="-0.0360",="-0.0654",="-0.0764",="-0.0781",="-0.0316",="-0.0797",="-0.0931"
="",="(0.3873)",="(0.2641)",="(0.3285)",="(0.1528)",="(0.2029)",="(.)",="(.)",="(0.4217)",="(0.2222)",="(0.2111)",="(0.2052)",="(.)",="(0.2523)",="(0.1908)",="(0.3169)",="(0.2844)",="(0.2445)",="(0.1238)",="(0.1969)",="(0.1867)",="(0.1307)",="(0.1597)",="(0.1430)",="(0.1673)",="(0.1903)",="(0.1272)",="(0.1530)",="(0.1226)",="(0.1346)",="(0.1311)",="(0.1325)",="(0.1356)",="(0.1313)",="(0.1273)",="(0.1930)",="(0.1304)",="(0.1548)",="(0.1405)",="(0.1606)",="(0.1597)",="(0.1794)",="(0.1594)",="(0.1914)",="(0.1496)",="(0.1426)",="(0.1713)",="(0.1208)",="(0.1366)",="(0.1479)",="(0.1655)",="(0.1244)",="(0.1335)",="(0.1751)",="(0.1322)",="(0.1356)"

