
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="xconf_2017_2006",="xconf_2017_2006",="xconf_2017_2006",="Anxiety",="Anxiety",="approve",="approve"

="un_gini",="-0.0133**",="0.00120",="0.00332",="0.0110",="0.0177",="-0.00823",="0.00738"
="",="(0.0041)",="(0.0132)",="(0.0143)",="(0.0069)",="(0.0142)",="(0.0044)",="(0.0122)"

="recession08_17",="6.187**",="8.943*",="7.855",="-5.145",="-2.989",="0.775",="-2.800"
="",="(1.8973)",="(3.7447)",="(4.7045)",="(3.1692)",="(4.6695)",="(2.0357)",="(4.0260)"

="diversity",="",="0.147",="-0.0179",="",="0.0979",="",="-0.559"
="",="",="(0.6306)",="(0.7168)",="",="(0.7115)",="",="(0.6134)"

="p_child_w_sp14",="",="-0.00949",="-0.00650",="",="-0.00830",="",="0.00163"
="",="",="(0.0104)",="(0.0118)",="",="(0.0117)",="",="(0.0101)"

="pop20_64_2011",="",="0.00507",="0.0414",="",="-0.0762",="",="0.0447"
="",="",="(0.0978)",="(0.1228)",="",="(0.1219)",="",="(0.1051)"

="patents_pop1000",="",="1.093",="1.337",="",="-0.973",="",="1.349"
="",="",="(0.7102)",="(0.8463)",="",="(0.8400)",="",="(0.7243)"

="oecd_tertiary",="",="-0.0107",="-0.0133",="",="-0.0105",="",="-0.00118"
="",="",="(0.0070)",="(0.0082)",="",="(0.0081)",="",="(0.0070)"

="tradefreedom",="",="-0.000643",="-0.00273",="",="-0.0627*",="",="0.0399"
="",="",="(0.0256)",="(0.0275)",="",="(0.0273)",="",="(0.0236)"

="change_imm_share90_15",="",="",="-0.00691",="",="0.000297",="",="-0.0104"
="",="",="",="(0.0105)",="",="(0.0105)",="",="(0.0090)"

="imm_share2015",="",="",="0.00291",="",="0.000487",="",="0.00586"
="",="",="",="(0.0051)",="",="(0.0051)",="",="(0.0044)"

="_cons",="0.395**",="0.362",="0.364",="-0.478*",="5.692*",="0.807**",="-3.472"
="",="(0.1389)",="(2.2362)",="(2.4317)",="(0.2321)",="(2.4136)",="(0.1491)",="(2.0810)"

="N",="35",="24",="24",="35",="24",="35",="24"
="adj. R-sq",="0.302",="0.305",="0.230",="0.059",="0.689",="0.041",="0.390"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
